abstract,sentence,label,,,,
12881409,Human galectin-8 induced firm and reversible adhesion of peripheral blood neutrophils but not eosinophils to a plastic surface in a lactose-sensitive manner.,,,,,
12881409,"Other human galectins, galectins-1, -3, and -9, showed low or negligible effects on neutrophil adhesion.",,,,,
12881409,Confocal microscopy revealed actin bundle formation in the presence of galectin-8.,,,,,
12881409,Cytochalasins inhibited both actin assembly and cell adhesion induced by galectin-8.,,,,,
12881409,"Affinity purification of galectin-interacting proteins from solubilized neutrophil membrane revealed that N-terminal carbohydrate recognition domain (CRD) of galectin-8 bound promatrix metalloproteinase-9 (proMMP-9), and C-terminal CRD bound integrin alphaM/CD11b and proMMP-9.",,,,,
12881409,"A mutant galectin-8 lacking the carbohydrate-binding activity of N-terminal CRD (galectin-8R69H) retained adhesion-inducing activity, but inactivation of C-terminal CRD (galectin-8R233H) abolished the activity.",,,,,
12881409,"MMP-3-mediated processing of proMMP-9 was accelerated by galectin-8, and this effect was inhibited by lactose.",,,,,
12881409,Galectins-1 and -3 did not affect the processing.,,,,,
12881409,"Superoxide production, an essential event in bactericidal function of neutrophils, was stimulated by galectin-8 to an extent comparable to that induced by fMLP.",,,,,
12881409,Galectin-8R69H but not galectin-8R233H could stimulate superoxide production.,,,,,
12881409,"Taken together, these results suggest that galectin-8 is a novel factor that modulates the neutrophil function related to transendothelial migration and microbial killing.",,,,,
20795750,Cyanobacteria developed efficient carbon concentrating mechanisms which significantly improve the photosynthetic performance and survival of cells under limiting CO(2) conditions.,,,,,
20795750,Dynamic changes of the Synechocystis proteome to CO(2) limitation were investigated using shotgun LC-MS/MS approach with isobaric tag for relative and absolute quantification (iTRAQ) technique.,,,,,
20795750,"Synechocystis cells grown at high (3%) CO(2) were shifted to air-level CO(2) followed by protein extraction after 6, 24, and 72 h. About 19% of the cyanobacterial proteome was identified and the expression changes were quantified for 17% of theoretical ORFs.",,,,,
20795750,"For 76 proteins, up- or down-regulation was found to be significant (more than 1.5 or less than 0.7).",,,,,
20795750,"Major changes were observed in proteins participating in inorganic carbon uptake, CO(2) fixation, nitrogen transport and assimilation, as well as in the protection of the photosynthetic machinery from excess of light.",,,,,
20795750,"Further, a number of hypothetical proteins with unknown functions were discovered.",,,,,
20795750,"In general, the cells appear to acclimate to low CO(2) without a significant stress since the stress-related molecular chaperones were down-regulated and only a minor decline was detected for proteins of phycobilisomes, photosynthetic complexes, and translation machinery.",,,,,
20795750,The results of iTRAQ experiment were validated by the Western blot analysis for selected proteins.,,,,,
28043878,"Tetracyclines are among the most commonly used antibiotics administrated to farm animals for disease treatment and prevention, contributing to the worldwide increase in antibiotic resistance in animal and human pathogens.",,,,,
28043878,"Although tetracycline mechanisms of resistance are well known, the role of metabolism in bacterial reaction to antibiotic stress is still an important assignment and could contribute to the understanding of tetracycline related stress response.",,,,,
28043878,"In this study, spectral counts-based label free quantitative proteomics has been applied to study the response to tetracycline of the environmental-borne Escherichia coli EcAmb278 isolate soluble proteome.",,,,,
28043878,"A total of 1484 proteins were identified by high resolution mass spectrometry at a false discovery rate threshold of 1%, of which 108 were uniquely identified under absence of tetracycline whereas 126 were uniquely identified in presence of tetracycline.",,,,,
28043878,These proteins revealed interesting difference in e.g.,,,,,
28043878,proteins involved in peptidoglycan-based cell wall proteins and energy metabolism.,,,,,
28043878,"Upon treatment, 12 proteins were differentially regulated showing more than 2-fold change and p<0.05 (p value corrected for multiple testing).",,,,,
28043878,This integrated study using high resolution mass spectrometry based label-free quantitative proteomics to study tetracycline antibiotic response in the soluble proteome of resistant E. coli provides novel insight into tetracycline related stress.,,,,,
28043878,"SIGNIFICANCE: The lack of new antibiotics to fight infections caused by multidrug resistant microorganisms has motivated the use of old antibiotics, and the search for new drug targets.",,,,,
28043878,"The evolution of antibiotic resistance is complex, but it is known that agroecosystems play an important part in the selection of antibiotic resistance bacteria.",,,,,
28043878,"Tetracyclines are still used as phytopharmaceutical agents in crops, selecting resistant bacteria and changing the ecology of farm soil.",,,,,
28043878,Little is known about the metabolic response of genetically resistant populations to antibiotic exposure.,,,,,
28043878,"Indeed, to date there are no quantitative tetracycline resistance studies performed with the latest generation of high resolution mass spectrometers allowing high mass accuracy in both MS and MS/MS scans.",,,,,
28043878,"Here, we report the proteome profiling of a soil-borne Escherichia coli upon tetracycline stress, so that this new perspective could provide a broaden understanding of the metabolic responses of E. coli to a widely used antibiotic.",,,,,
15473688,The rhoptries of Plasmodium species participate in merozoite invasion and modification of the host erythrocyte.,,,,,
15473688,"However, only a few rhoptry proteins have been identified using conventional gene identification protocols.",,,,,
15473688,"To investigate the protein organization of this organelle and to identify new rhoptry proteins, merozoite rhoptries from three different Plasmodium rodent species were enriched by sucrose density gradient fractionation, and subjected to proteome analysis using multidimensional protein identification technology (MudPIT); 148 proteins were identified.",,,,,
15473688,"To distinguish abundant cellular contaminants from bona fide organellar proteins, a differential analysis comparing the proteins in the rhoptry-enriched fractions to proteins identified from whole cell lysates of P. berghei mixed asexual blood stages was undertaken.",,,,,
15473688,"In addition, the proteins detected were analyzed for the presence of transmembrane domains, secretory signal peptide, cell adhesion motifs, and/or rhoptry-specific tyrosine-sorting motifs.",,,,,
15473688,"Combining the differential analysis and bioinformatic approaches, a set of 36 proteins was defined as being potentially located to the Plasmodium rhoptries.",,,,,
15473688,"Among these potential rhoptry proteins were homologues of known rhoptry proteins, proteases, and enzymes involved in lipid metabolism.",,,,,
15473688,Molecular characterization and understanding of the supramolecular organization of these novel potential rhoptry proteins may assist in the identification of new intervention targets for the asexual blood stages of malaria.,,,,,
27384440,Lipid rafts are dynamic membrane microdomains that orchestrate molecular interactions and are implicated in cancer development.,,,,,
27384440,"To understand the functions of lipid rafts in cancer, we performed an integrated analysis of quantitative lipid raft proteomics data sets modeling progression in breast cancer, melanoma, and renal cell carcinoma.",,,,,
27384440,"This analysis revealed that cancer development is associated with increased membrane raft-cytoskeleton interactions, with ∼40% of elevated lipid raft proteins being cytoskeletal components.",,,,,
27384440,Previous studies suggest a potential functional role for the raft-cytoskeleton in the action of the putative tumor suppressors PTRF/Cavin-1 and Merlin.,,,,,
27384440,"To extend the observation, we examined lipid raft proteome modulation by an unrelated tumor suppressor opioid binding protein cell-adhesion molecule (OPCML) in ovarian cancer SKOV3 cells.",,,,,
27384440,"In agreement with the other model systems, quantitative proteomics revealed that 39% of OPCML-depleted lipid raft proteins are cytoskeletal components, with microfilaments and intermediate filaments specifically down-regulated.",,,,,
27384440,"Furthermore, protein-protein interaction network and simulation analysis showed significantly higher interactions among cancer raft proteins compared with general human raft proteins.",,,,,
27384440,"Collectively, these results suggest increased cytoskeleton-mediated stabilization of lipid raft domains with greater molecular interactions as a common, functional, and reversible feature of cancer cells.",,,,,
2997173,"An inhibitor of sodium-potassium-ATPase has been partially purified from the culture medium obtained from hypothalamic cells maintained in a capillary membrane perfusion system, and some of the properties of this inhibitory factor have been investigated.",,,,,
2997173,Gel filtration (Sephadex G-25 Superfine) of heat-treated medium (80 degrees C for 10 min) resulted in elution of inhibitory activity in the post-salt fraction.,,,,,
2997173,These fractions inhibited active (i.e.,,,,,
2997173,"sodium-potassium-ATPase-mediated) sodium transport in intact human erythrocytes, displaced [3H]ouabain from its binding site, and directly inhibited canine kidney sodium-potassium-ATPase as measured by NADH oxidation.",,,,,
2997173,High-performance liquid chromatography (on Hypersil ODS) of these fractions after desalting yielded one region which showed inhibitory activity on all three assays.,,,,,
2997173,Inhibition of sodium-potassium-ATPase was dose-related and filtered through an Amicon UM10 membrane.,,,,,
2997173,"Incubation of this material with dispase, carboxypeptidase A, chymotrypsin, and prolidase destroyed inhibitory activity, whereas trypsin and leucine aminopeptidase were ineffective.",,,,,
2997173,"These studies show that hypothalamic neurones release a low molecular weight heat-stable peptide which inhibits active sodium transport, ouabain binding, and sodium-potassium-ATPase.",,,,,
19658438,The inducible genes and proteins were analyzed using transcriptome and proteome techniques to explore the mechanisms underlying soybean response to flooding stress.,,,,,
19658438,"Soybean seedlings were germinated for 2 days and subjected to flooding for 12 h, and the total RNAs and proteins were extracted from the root and hypocotyl.",,,,,
19658438,High-coverage gene expression profiling analysis as transcriptome technique was performed.,,,,,
19658438,"Ninety-seven out of the 29,388 peaks observed demonstrated a greater than 25-fold change following 12 h of flood-induced stress.",,,,,
19658438,"Furthermore, 34 proteins out of 799 proteins were changed by 12 h stress.",,,,,
19658438,"Genes associated with alcohol fermentation, ethylene biosynthesis, pathogen defense, and cell wall loosening were significantly up-regulated.",,,,,
19658438,"Hemoglobin, acid phosphatase, and Kunitz trypsin protease inhibitor were altered at both transcriptional and translational levels.",,,,,
19658438,Reactive oxygen species scavengers and chaperons were changed only at the translational level.,,,,,
19658438,It is suggested that the early response of soybean under flooding might be important stress adaptation to ensure survival against not only hypoxia but also the direct damage of cell by water.,,,,,
19159215,"We introduce a matrix-assisted laser desorption ionization-Fourier transform ion cyclotron resonance (MALDI-FT-ICR) method for quantitative peptide profiling, using peak height as a measure for abundance.",,,,,
19159215,Relative standard deviations in peak height of peptides spiked over 3 orders of magnitude in concentration were below 10% and allowed for accurate comparisons between multiple sclerosis and controls.,,,,,
19159215,"Application on a set of 163 cerebrospinal fluid (CSF) samples showed significantly differential abundant peptides, which were subsequently identified into proteins (e.g., chromogranin A, clusterin, and complement C3).",,,,,
23022584,"This paper describes a simple, highly efficient and robust proteomic workflow for routine liquid-chromatography tandem mass spectrometry analysis of Laser Microdissection Pressure Catapulting (LMPC) isolates.",,,,,
23022584,"Highly efficient protein recovery was achieved by optimization of a ""one-pot"" protein extraction and digestion allowing for reproducible proteomic analysis on as few as 500 LMPC isolated cells.",,,,,
23022584,"The method was combined with label-free spectral count quantitation to characterize proteomic differences from 3000-10,000 LMPC isolated cells.",,,,,
23022584,Significance analysis of spectral count data was accomplished using the edgeR tag-count R package combined with hierarchical cluster analysis.,,,,,
23022584,"To illustrate the capability of this robust workflow, two examples are presented: 1) analysis of keratinocytes from human punch biopsies of normal skin and a chronic diabetic wound and 2) comparison of glomeruli from needle biopsies of patients with kidney disease.",,,,,
23022584,Differentially expressed proteins were validated by use of immunohistochemistry.,,,,,
23022584,These examples illustrate that tissue proteomics carried out on limited clinical material can obtain informative proteomic signatures for disease pathogenesis and demonstrate the suitability of this approach for biomarker discovery.,,,,,
18952827,"We describe the characterization of an O-fucosyl modification to a serine residue on the light chain of a recombinant, human IgG1 molecule expressed in Chinese hamster ovary (CHO) cells.",,,,,
18952827,Cation exchange chromatography (CEX) and hydrophobic interaction chromatography (HIC) were used to isolate a Fab population which was 146 Da heavier than the expected mass.,,,,,
18952827,Isolated Fab fragments were treated with a reducing agent to facilitate mass spectrometric analysis of the reduced light chain (LC) and fragment difficult (Fd).,,,,,
18952827,An antibody light chain with a net addition of 146 Da was detected by mass spectrometric analysis of the modified Fab.,,,,,
18952827,A light chain tryptic peptide in complementarity determining region-1 (CDR-1) was subsequently identified with a net addition of 146 Da by a peptide map.,,,,,
18952827,Results from a nanospray infusion of the modified peptide into a linear ion trap mass spectrometer with electron transfer dissociation (ETD) functionality indicated that the modified residue was a serine at position 30 in the light chain.,,,,,
18952827,Acid hydrolysis of the modified tryptic peptide followed by fluorescent labeling with 2-aminoanthranilic acid (2AA) and HPLC comparison with monosaccharide standards confirmed the presence of fucose on the light chain peptide.,,,,,
18952827,The presence of O-fucose on an antibody has not been previously reported.,,,,,
18952827,"Currently, O-fucose has been described as occurring on mammalian proteins with amino acid sequence motifs associated with epidermal growth factor (EGF)-like repeats or thrombospondin type 1 repeats (TSRs).",,,,,
18952827,The amino acid sequence around the modified Ser in the IgG1 molecule does not conform to any known O-fucosylation sequence motif and thus is the first description of this type of modification on a nonconsensus sequence in a mammalian protein.,,,,,
27762138,Phloem localization of plant viruses is advantageous for acquisition by sap-sucking vectors but hampers host-virus protein interaction studies.,,,,,
27762138,"In this study, Potato leafroll virus (PLRV)-host protein complexes were isolated from systemically infected potato, a natural host of the virus.",,,,,
27762138,"Comparing two different co-immunoprecipitation (co-IP) support matrices coupled to mass spectrometry (MS), we identified 44 potato proteins and one viral protein (P1) specifically associated with virus isolated from infected phloem.",,,,,
27762138,An additional 142 proteins interact in complex with virus at varying degrees of confidence.,,,,,
27762138,Greater than 80% of these proteins were previously found to form high confidence interactions with PLRV isolated from the model host Nicotiana benthamiana.,,,,,
27762138,"Bioinformatics revealed that these proteins are enriched for functions related to plasmodesmata, organelle membrane transport, translation, and mRNA processing.",,,,,
27762138,Our results show that model system proteomics experiments are extremely valuable for understanding protein interactions regulating infection in recalcitrant pathogens such as phloem-limited viruses.,,,,,
27979964,The nodes of Ranvier are essential regions for action potential conduction in myelinated fibers.,,,,,
27979964,They are enriched in multimolecular complexes composed of voltage-gated Nav and Kv7 channels associated with cell adhesion molecules.,,,,,
27979964,Cytoskeletal proteins ankyrin-G (AnkG) and βIV-spectrin control the organization of these complexes and provide mechanical support to the plasma membrane.,,,,,
27979964,IQCJ-SCHIP1 is a cytoplasmic protein present in axon initial segments and nodes of Ranvier.,,,,,
27979964,It interacts with AnkG and is absent from nodes and axon initial segments of βIV-spectrin and AnkG mutant mice.,,,,,
27979964,"Here, we show that IQCJ-SCHIP1 also interacts with βIV-spectrin and Kv7.2/3 channels and self-associates, suggesting a scaffolding role in organizing nodal proteins.",,,,,
27979964,IQCJ-SCHIP1 binding requires a βIV-spectrin-specific domain and Kv7 channel 1-5-10 calmodulin-binding motifs.,,,,,
27979964,We then investigate the role of IQCJ-SCHIP1 in vivo by studying peripheral myelinated fibers in Schip1 knock-out mutant mice.,,,,,
27979964,"The major nodal proteins are normally enriched at nodes in these mice, indicating that IQCJ-SCHIP1 is not required for their nodal accumulation.",,,,,
27979964,"However, morphometric and ultrastructural analyses show an altered shape of nodes similar to that observed in βIV-spectrin mutant mice, revealing that IQCJ-SCHIP1 contributes to nodal membrane-associated cytoskeleton organization, likely through its interactions with the AnkG/βIV-spectrin network.",,,,,
27979964,"Our work reveals that IQCJ-SCHIP1 interacts with several major nodal proteins, and we suggest that it contributes to a higher organizational level of the AnkG/βIV-spectrin network critical for node integrity.",,,,,
22442153,"The Hairless (Hr), a transcription factor, is expressed in the suprabasal cell layer of the interfollicular epidermis and the lower portion of the hair follicle epithelium, where its expression is dependent on the hair cycle.",,,,,
22442153,"Recently, we reported a new Hr mutant mouse, Hr(Hp), in which the hairless protein (HR) was overexpressed.",,,,,
22442153,"In this study, we documented abnormal formation of inner root sheath (IRS), suppressed expression of Dlx3, and IRS keratins in the Hr(Hp)/Hr(Hp) skin.",,,,,
22442153,We also found that HR down-regulated Dlx3 mRNA expression through suppression of Dlx3 promoter activity.,,,,,
22442153,"In addition, we showed that Dlx3 regulated the expression of IRS keratins.",,,,,
22442153,"Our results demonstrate that regulation of Dlx3 by HR affects the IRS keratin expression, thus modulating the formation of IRS of hair follicle.",,,,,
19683081,Proteomics has brought new perspectives to the fields of hematology and transfusion medicine in the last decade.,,,,,
19683081,"The steady improvement of proteomic technology is propelling novel discoveries of molecular mechanisms by studying protein expression, post-translational modifications and protein interactions.",,,,,
19683081,This review article focuses on the application of proteomics to the identification of molecular mechanisms leading to the deterioration of blood platelets during storage - a critical aspect in the provision of platelet transfusion products.,,,,,
19683081,Several proteomic approaches have been employed to analyse changes in the platelet protein profile during storage and the obtained data now need to be translated into platelet biochemistry in order to connect the results to platelet function.,,,,,
19683081,Targeted biochemical applications then allow the identification of points for intervention in signal transduction pathways.,,,,,
19683081,"Once validated and placed in a transfusion context, these data will provide further understanding of the underlying molecular mechanisms leading to platelet storage lesion.",,,,,
19683081,Future aspects of proteomics in blood banking will aim to make use of protein markers identified for platelet storage lesion development to monitor proteome changes when alterations such as the use of additive solutions or pathogen reduction strategies are put in place in order to improve platelet quality for patients.,,,,,
25948169,"We previously reported a method, termed enzyme-mediated activation of radical sources (EMARS) for analysis of co-clustered molecules with horseradish peroxidase (HRP) fusion proteins expressed in living cells.",,,,,
25948169,This method is featured by radical formation of labeling reagents by HRP.,,,,,
25948169,"In the current study, we have employed another labeling reagent, fluorescein-conjugated tyramide (FT) instead of the original arylazide compounds.",,,,,
25948169,"Although hydrogen peroxide is required for the activation of FT, the labeling efficiency by HRP and the nonspecific reactions by endogenous enzyme(s) have been dramatically improved compared with the original fluorescein arylazide.",,,,,
25948169,This revised EMARS method has enabled visualization of co-clustered molecules in the endoplasmic reticulum and Golgi membranes with confocal microscopy.,,,,,
25948169,"By using this method, we have found that GPI-anchored proteins, decay accelerating factor (DAF) and Thy-1 are exclusively co-clustered with HRP-DAFGPI and HRP-Thy1GPI, in which GPI attachment signals of DAF and Thy-1 have been connected to HRP, respectively.",,,,,
25948169,"Furthermore, the N-glycosylation types of DAF and Thy-1 have been found to correspond to those of HRP-DAFGPI and HRP-Thy1GPI, respectively.",,,,,
25948169,"These results indicate that each GPI-anchored protein species forms a specific lipid raft depending on its GPI attachment signal, and that the EMARS method can segregate individual lipid rafts.",,,,,
14551218,"Using streptozotocin-induced diabetic Wistar and GK rats as models of type 1 and type 2 diabetes, respectively, we investigated the changes in serum and urinary hyaluronidase activity with the pathological progress.",,,,,
14551218,The serum hyaluronidase levels of streptozotocin-induced rats started to increase on the third day after injection and thereafter maintained approximately threefold higher levels compared with control rats, those of GK rats were already higher ( approximately twofold) from the beginning of the experiment.,,,,
14551218,"The increases of serum hyaluronidase activity in both diabetic rats were similar to those of blood glucose level, indicating that diabetes mellitus was accompanied by enhanced activity of circulating hyaluronidase from the early phase of its development.",,,,,
14551218,"In zymography, every serum from diabetic and control rats gave two hyaluronidase isomers, a major 73-kDa band (Hyal-1 type) and a minor 132-kDa band, suggesting that the increases in serum hyaluronidase activity were not due to the appearance of novel isomers.",,,,,
14551218,"The hyaluronidase activity in 24-h urine of streptozotocin-induced rats was 3-, 7-, and 11-fold higher at the 8th, 15th, and 18th week than that of control rats, respectively, and the urinary hyaluronidase activity of GK rats was not significantly different from controls.",,,,,
14551218,There was a good correlation between the urinary hyaluronidase activity and the albumin excretion.,,,,,
14551218,Thus the increase in urinary hyaluronidase activity may reflect enhanced glomerular permeability in streptozotocin-induced diabetic rats and may be a useful marker for diabetic nephropathy.,,,,,
14551218,Relative resistance to SDS-denaturation in zymography of rat serum and urinary hyaluronidases compared with human serum hyaluronidase are also shown.,,,,,
8195148,"The human hepatitis B virus (HBV) X gene seems to be essential for establishment of viral infection, and the X gene product, HBx, transactivates virus and host genes through a wide variety of cis-elements, whereas regulation of HBx has not been fully understood.",,,,,
